粵語,標準漢語1,標準漢語2
移,(不是粵方言詞),
移,移動,動作
倚,依靠,靠山
倚傍,依靠-,倚靠
椅,(不是粵方言詞),
椅披,(不是粵方言詞),
椅手,椅子的扶手,
椅墊,(不是粵方言詞),
椅橫,椅子牚,
椅憑,椅子靠背,
椅籠,(沒有對應詞彙),
椅腳,椅子腿兒,
耳屎,(不是粵方言詞),
耳仔,耳朵,
耳仔邊,右耳刀兒,耳仔旁
耳環,(不是粵方言詞),
耳性,(不是粵方言詞),
耳挖,耳挖子,
耳骨硬,(沒有對應詞彙),
意頭,兆頭,
薏米,薏仁米,薏苡
二打六,二把刀(口),二五眼(口)
二奶,妾,姨太太
二世祖,(沒有對應詞彙),
二偈,二把手,二車
二手,助手,幫手
二水貨,次等貨,
二分四,(沒有對應詞彙),
二房東,(沒有對應詞彙),
二撇雞,八字鬍子,兩撇鬍兒(方)
二叔婆,大媽,大嬸
易過借火,(喻)易如反掌,(喻)非常容易
異相,怪相,難看
枯,枯朽,霉爛
枯,乾枯而無光澤,
骷顱頭,死人的頭骨,
扶翅,禽類的肫肝,
扶手,(不是粵方言詞),
扶正,(不是粵方言詞),
符法,法術,辦法
斧頭,(不是粵方言詞),
苦瓜,(不是粵方言詞),
苦瓜噉面,愁眉苦臉,
苦麥菜,菜名,
戽,(沒有對應詞彙),
戽斗,(不是粵方言詞),
副,(不是粵方言詞),
褲,褲子,
褲髀,褲腿,
褲頭,褲腰,
褲頭帶,褲腰帶,束緊褲腰的帶子
褲,褲襠,
褲骨,(沒有對應詞彙),
褲腳,褲腿的下端,褲腿
負氣,(不是粵方言詞),
負氣袋,(沒有對應詞彙),
腐乳,(不是粵方言詞),
腐皮,(不是粵方言詞),
腐竹,(不是粵方言詞),
姑仔,小姑,小姑子
轆,輪狀物,
孤單單,孤獨,孤單
孤寒,吝嗇,小氣
孤寒鐸,吝嗇鬼,吝嗇的人
孤仃仃,孤獨,孤零零
孤清清,形單影隻,
孤獨,(不是粵方言詞),
姑媽,(不是粵方言詞),
姑,(沒有對應詞彙),
姑姐,姑姑,
姑爺,(不是粵方言詞),
姑婆,姑奶奶,姑姥姥
姑太,姑奶奶,姑姥姥
姑奶,大姑子,
姑奶奶,(沒有對應詞彙),
姑表,(不是粵方言詞),
姑娘,女士,
姑娘仔,小姑娘,
姑丈,(不是粵方言詞),
姑勿論,且不說,無論
咕咕雀,布穀鳥,
鴣鴣,(沒有對應詞彙),
古,故事,謎語
古怪,(不是粵方言詞),
古仔,故事,
古老,(不是粵方言詞),
古老十八代,上八輩子,年代久遠的
古老石山,(沒有對應詞彙),
古板,(不是粵方言詞),
古人,(不是粵方言詞),
古玩鋪,賣古玩的商店,
古靈精怪,稀奇古怪,
古月粉,胡椒粉,
古惑,特殊,與眾不同
古縮,不開朗,不愛答理人
估,以為,猜想
鼓住道氣,氣不順,憋著氣用力
鼓皮,鼓面,
鼓氣,態度冷酷,
臌脹,大肚子病,
蠱惑,心術不正,損人利己
故此,所以,
故衣,舊衣服,估衣
僱主,買主,顧客
顧家,照顧家庭,
顧住,小心著,提防
顧面,顧面子,看重臉面
顧命,提防,當心性命
顧食唔顧著,(沒有對應詞彙),
箍,(不是粵方言詞),
箍唔過,(不是粵方言詞),
箍頸,(不是粵方言詞),
箍得過,(不是粵方言詞),
污糟,不乾淨,骯髒
污糟邋遢,骯髒,
烏垂垂,一無所知,稀里糊塗
烏魚,(沒有對應詞彙),
烏龜,(沒有對應詞彙),
烏龜殼,(沒有對應詞彙),
烏眉瞌睡,無精打采,打瞌睡貌
烏哩單刀,一塌糊塗,一團糟
烏豆,黑豆,
烏口烏面,(形容人)面色鐵青,(形容人)態度不好
烏煙,黑色顏料,
烏,(沒有對應詞彙),
烏,烏黑無光,黑暗
烏燈黑火,黑燈瞎火,黑燈下火
烏蠅,蒼蠅,
烏龍,糊塗,什麼也不知道
烏龍王,糊塗蟲,思路混亂的人
烏卒卒,黑得好看,
胡胡混混,不知底細,
胡椒粉,胡椒末,胡椒麵兒
胡混,有意搗亂,胡鬧
鬍鬚,鬍子,
鬍鬚樴,鬍子拉碴的,滿臉鬍子茬
壺,(不是粵方言詞),
蝴蝶,(不是粵方言詞),
糊仔,(不是粵方言詞),
糊哩麻,(不是粵方言詞),
糊哩糊塗,(不是粵方言詞),
糊塗,(不是粵方言詞),
朱義盛貨,(沒有對應詞彙),
朱古力,巧克力,
朱油,(沒有對應詞彙),
珠羅,(沒有對應詞彙),
珠仔豆,(沒有對應詞彙),
珠被,線毯,
珠末,珍珠粉,
硃砂柑,一種紅色的柑,
硃砂桔,紅色的小橘子,
豬扒,(沒有對應詞彙),
豬花,半大的豬,
豬,母豬,
豬菜,莙薘菜的俗稱,
豬豆,(沒有對應詞彙),
豬屎,黑畫眉鳥,
豬排骨,豬的肋骨,
豬大腸,豬的大腸,
豬孻,(沒有對應詞彙),
豬仔客,(沒有對應詞彙),
豬,豬舌頭,
豬潲,(沒有對應詞彙),
豬兜肉,豬腮部的肉,
豬竇,豬窩,
豬頭骨,豬的頭骨,
豬頭肉,豬頭部的肉,
豬油,煉好的豬脂肪,
豬肚,豬的胃,
豬膏,煉好的熟豬油,豬油
豬料,(沒有對應詞彙),
豬小肚,(沒有對應詞彙),
豬腰,豬腎臟,豬腰子
豬膽鼻,(沒有對應詞彙),
豬腩肉,(沒有對應詞彙),
豬心椗,(沒有對應詞彙),
豬欄,養豬的地方,豬圈
豬坌鼻,豬鼻子,
豬粉腸,(沒有對應詞彙),
豬潤,豬肝,
豬,(沒有對應詞彙),豬蹄膀
豬橫,豬的脾臟,豬胰臟
豬疔,豬病的一種,
豬腸粉,腸粉,
豬上雜,豬內臟的一分,
豬籠,(沒有對應詞彙),
豬籠車,運貨小板車,木板手推車
豬鬃毛,豬鬃,
豬公,公豬,雄性豬
豬雜,豬內臟的統稱,
豬八,喻蠢笨者,
豬骨頭,(喻)難做的事,(喻)難題
豬骨髓,豬的骨髓,
豬嘜,蠢豬,愚蠢
豬腳,豬的後蹄,豬後腿
豬腳薑,豬腳醋,
諸事,多管閑事,愛管閑事
煮菜,製作菜肴,烹調菜肴
煮飯,女廚子,做飯
煮飯仔,做小鍋飯,
煮飯飯,(沒有對應詞彙),
煮重米,說某人的壞話,背後使壞
煮一鑊,背後說壞話,
煮食,做飯吃,辦伙食
蛀米大蟲,寄生蟲,只會吃飯而不會或不願做事的人
住埋,同住一起,
住月,(產婦)坐月子,
箸筒,(不是粵方言詞),
拄,(不是粵方言詞),
杵,(沒有對應詞彙),
柱侯醬,調味醬一種,
柱墩,柱子的基石,
儲埋,積蓄,存儲
儲水,存水,
書櫃,(不是粵方言詞),
書,書桌,
書友,同學,同窗
書錐,(沒有對應詞彙),
書偏,(沒有對應詞彙),
書館,舊時指私塾,
書房,(不是粵方言詞),
舒展,寬綽,寬敞
輸賭,打賭,
輸到貼地,輸得很慘,輸到家了
輸東道,賭東道,
輸白地,輸得精光,
薯,薯類,
薯仔,馬鈴薯,土豆
薯頭,笨蛋,蠢笨
薯莨,一種植物,
鼠摸,(沒有對應詞彙),
鼠貨,(沒有對應詞彙),
處,處所,地方
樹椏,樹杈,樹枝椏
樹尾,樹梢,
樹頭,(沒有對應詞彙),
樹鬚,樹的氣根,
樹陰,樹下的陰涼地,
樹墩,(沒有對應詞彙),
樹癭,(沒有對應詞彙),
樹頂,樹的最高處,
迂滯,固執,不會變通
於是乎,於是,
魚花,魚苗,
魚翅,(不是粵方言詞),
魚絲袋,尼龍網袋,
魚皮花生,(沒有對應詞彙),
魚尾紋,(不是粵方言詞),
魚骹,(沒有對應詞彙),
魚頭雲,(沒有對應詞彙),
魚油,魚肝油,
魚肚,(不是粵方言詞),
魚露,(沒有對應詞彙),魚肉提取液
魚腩,魚腹部之肉,
魚欄,(沒有對應詞彙),水產店
魚眼雪,霰,
魚春,魚卵,魚子
魚丸,魚肉丸子,
魚生,生魚片,
魚生粥,(沒有對應詞彙),魚片粥
魚笭,盛魚用戶竹器,
魚茸,魚肉糜,
魚骨,(沒有對應詞彙),
魚白,魚鰾,
魚臒,魚的精囊,
榆耳,(沒有對應詞彙),
榆錢,榆樹的果實,
愚鈍,(不是粵方言詞),
乳牙,乳齒,
乳豬,(沒有對應詞彙),
雨,(不是粵方言詞),
雨遮,雨傘,
雨靴,(不是粵方言詞),
雨衣,(不是粵方言詞),
雨水天,黃梅雨季節,
與及,(不是粵方言詞),
淤,委屈,挖苦
遇,碰見,撞見
遇時,不時,時常
預,(把某人)打算進去,(為某人)做好準備
預早,提早,預先
預算,打算,預料
唔,不,不是
唔怕醜,不害臊,不怕羞
唔怕面懵,臉皮厚,不怕難為情
唔化,看不開,看不破
唔話得埋,說不定,沒準兒
唔多,不大,不太
唔多謝,(客套話)不用謝,
唔多妥,不大舒服,
唔多唔少,多多少少,或多或少
唔阻你,不耽你的時間,不妨礙你
唔過得手,(人)靠不住,錢物不可經(他)手
唔知米價,(喻)不懂生活艱難,
唔知死,不知道利害,不懂得事情危急
唔知幾,太...了,
唔知醜,不知羞恥,沒羞
唔知好醜,不知好歹,
唔知衰,不知要倒霉,
唔知痛,不知死活,不懂利害
唔只,不但,不僅
唔自在,(身體)不好受,不舒服
唔自然,(身體)有些小病,不舒服
唔顧面,不要臉,
唔輸蝕,不比別人差,
唔怪得,怪不得,不能怪
唔得過,不合算,划不來
唔使,不必,不用
唔使來,不用來了,
唔使計,不用說,
唔使問阿貴,(意為)肯定是,不必懷疑
唔使緊,別著急,
唔使欿,別想了,不用指望
唔使慌,別慌,不用怕
唔使擇日,(轉義為)隨時,(轉義為)隨便
唔計帶,不怕虧本,慷慨
唔處,不在這兒,
唔係野少,不簡單,不是省油的燈
唔係我皮,比不上我,不是個兒
唔係我手腳,不是我對手,不是個兒(俗)
唔係路,不對勁兒,不對頭
唔係噉講,沒有的話,不是這麼說
唔係人噉品,不通人性,不是人
唔在,不用,不必
唔在意,不留心,不注意
唔在乎,不在乎,不介意
唔在講,不消說,不用說
唔該先,(沒有對應詞彙),
唔開胃,胃口不好,不開胃
唔瞅唔睬,愛答不理,不愛理人
唔嗅米氣,不通人情,不合常性
唔嗅人,沒有人味,沒有人性
唔受得,受不了,接受不了
唔夠,不足,不滿足
唔夠火,(沒有對應詞彙),
唔夠皮,入不敷出,
唔夠喉,(沒有對應詞彙),
唔夠眼,眼力不佳,判斷失誤
唔夠,睡眠不足,缺覺
唔夠銀,錢不夠花,
唔夠飣,不稱職,資望不足
唔夠牙罅,不夠塞牙縫兒的,
唔憂,不愁,
唔到,由不得,
唔到,(沒有對應詞彙),
唔到位,不喜歡,不樂意
唔好,不好,
唔好時年,壞年成,壞年景
唔好市,滯銷,生意不好
唔好意思,不好意思,很抱歉
唔好意頭,壞兆頭,不是好兆(口)
唔好仔,不孝子,
唔好世界,生活不好,年頭不好
唔好手腳,(沒有對應詞彙),
唔好口,出口傷人,
唔好心,心眼兒壞,沒安好心
唔好天,陰天,天氣不好
唔曉,不懂,不明白
唔要命,拼命,做危險的事
唔拘,不論,
唔三唔四,不倫不類,不正派
唔,不合適,
唔禁,不結實,用不長久
唔掂,(弄)不過來,
唔單只,不僅,不但
唔關事,不相干,
唔得落覺,睡不了覺,不能入睡
唔緊要,沒關係,沒事兒
唔信鏡,(喻)自以為漂亮,
唔見,沒看見,沒見到
唔肯,不肯,不幹
唔聽笛,(沒有對應詞彙),
唔淨只,不光,不光是
唔經唔覺,不知不覺,
唔湯唔水,(做事)不三不四,不像樣子
唔通,難道,
唔通氣,不知趣,
唔...乜滯,不怎麼,不太
唔出窟,足不出戶,
唔撤,(沒有對應詞彙),
唔得,不行,不成
唔得掂,不得了,無法收拾
唔得閑,不閑,忙
唔得撤,(時間上)來不及,趕不及
唔落膈,(沒有對應詞彙),
唔覺眼,沒留意,沒注意到
五花茶,(沒有對應詞彙),
五花腩,五花兒,
五時果,五色果,
五味架,(沒有對應詞彙),
五柳料,(沒有對應詞彙),
五顏六色,五光十色,五彩繽紛
擺花街,(沒有對應詞彙),
擺和頭酒,家族之間講和,擺酒宴恢復關係
擺烏龍,理解錯誤,沒弄清楚
擺街,在街頭擺攤兒,
擺街邊,(沒有對應詞彙),(在馬路邊)擺檔
擺祭,(沒有對應詞彙),
擺尾,搖尾巴,
擺手擺臂,手臂搖擺,
擺布,支配,操縱
擺路祭,(沒有對應詞彙),
擺擂臺,(沒有對應詞彙),
擺檔,(沒有對應詞彙),
擺款,擺樣子,擺譜
擺闊佬,顯示闊氣,
拜祠堂,拜太公,
拜五臟神,(戲言)吃東西,
拜大忌,(沒有對應詞彙),
拜大壽,(沒有對應詞彙),
拜,(沒有對應詞彙),
拜萬壽,(沒有對應詞彙),
拜山,上墳,掃墓
拜新山,(沒有對應詞彙),
拜案,結拜,拜把子
拜墊,(沒有對應詞彙),
拜天地,(不是粵方言詞),
拜年,(不是粵方言詞),
拜年咭,賀年片,
拜氈,(沒有對應詞彙),
敗家精,(不是粵方言詞),
敗水軍師,狗頭軍師,
敗陣,(不是粵方言詞),
敗血,對氣血不利,
排,隊,
排,排骨,
排解,(不是粵方言詞),
排場,(不是粵方言詞),
排骨,(不是粵方言詞),
排,整齊,有秩序
牌樓,(不是粵方言詞),
牌友,(不是粵方言詞),
牌號,牌子,商標
牌匾,(不是粵方言詞),
牌館,(沒有對應詞彙),
派,派遣,
派頭,(不是粵方言詞),
埋,靠近,到達
埋牙,交手,
埋晒,淨,
埋街,上岸,靠岸
埋櫃,店鋪每晚結賬,
埋尾,收尾,煞尾
埋,坐在桌子周圍,入座
埋會,(沒有對應詞彙),
埋頭,(船)靠碼頭,靠岸
埋頭埋腦,一心一意,專心致志
埋手,動手,下手
埋,結成塊,凝成團
埋口,傷口愈合,傷口痊癒
埋堆,合在一處,聚在一起
埋腩,(食物)很實惠,使人感到滿足
埋纜,合得來,
埋單,結賬,
埋欄,成事,成功
埋岸,(船)靠碼頭,
埋便,裏頭,裏邊
埋年,接近年底,年底
埋行,(沒有對應詞彙),
埋籠,(家禽晚上)進籠,(家禽晚上)入窩
埋閘,(沒有對應詞彙),
埋袷,(沒有對應詞彙),
埋席,入席,就座
埋怕,(沒有對應詞彙),
買花,(沒有對應詞彙),
買花墩,(沒有對應詞彙),
買字花,賭花會,
買烏白,(沒有對應詞彙),
買手,採購,
買路錢,紙錢,
買水,(沒有對應詞彙),
買番攤,(沒有對應詞彙),
買青苗,(沒有對應詞彙),
賣豬仔,出賣勞力,
賣大包,(沒有對應詞彙),
賣口乖,(沒有對應詞彙),
賣報紙,販賣報刊,登在報上
賣武,(沒有對應詞彙),
賣膏藥,胡說亂吹,誇誇其談
賣告白,登廣告,做廣告
賣招牌,(沒有對應詞彙),
賣懶,(沒有對應詞彙),
賣生藕,灌米湯,
賣窮,(沒有對應詞彙),
快手,(不是粵方言詞),
快口,嘴快,饒舌
快高長大,快快長大成人,
快趣,快速,快當
快艇,(不是粵方言詞),
快活,(不是粵方言詞),
筷子,食具之一,
筷子架,(沒有對應詞彙),
筷子筒,(沒有對應詞彙),
帶子,江珧貝,
帶頭,(不是粵方言詞),
帶路,(不是粵方言詞),
帶草,(沒有對應詞彙),
帶水,領航,
帶水佬,領航員,
帶眼,長眼睛,
帶眼識人,識別好壞人,
帶挈,提拔,栽培
戴,(沒有對應詞彙),
戴孝,(沒有對應詞彙),
戴高帽,奉承,阿諛
戴綠帽,指男人當王八,
大,表示小,
大把,有的是,多的是
大把世界,(沒有對應詞彙),
大花面,大花臉,
大家,大家姐,
大家好做,彼此方便,
大牙,(不是粵方言詞),
大,衿袍,
大話,謊言,虛誇的話
大姐,(沒有對應詞彙),
大姐,最年長的姐姐,
大車,大副,
大婆,正妻,正室
大傻,極端無知的人,
大姊,(沒有對應詞彙),
大紙,大票兒(口),
大姨,大姨,大姨子
大姨媽,大姨,大姨兒
大耳窿,高利貸者,放高利貸的人
大唔透,孩子氣,大小孩兒 (俗)
大牌檔,(沒有對應詞彙),
大派,很有派頭,
大,浪費,
大晒,霸道之極,利害到家了
大芥菜,蓋菜,
大掣,總閘門,總閘
大使,能花錢,好花錢
大使大食,(沒有對應詞彙),
大細眼,眼睛一大一小,
大櫃,大木櫃,
大髀,大腿,
大地魚,比目魚乾,
大戲,粵劇,
大臺,大方,大氣
大覺,睡大覺,
大頭鬼,(沒有對應詞彙),
大頭菜,(不是粵方言詞),
大褸,大衣,
大手大腳,(不是粵方言詞),
大,大塊頭,大個子
大衰,傻大個兒,
大舅,妻之兄,大舅子(背稱)
大肚腩,肚子大,
大老爺,老主人,老爺
大造,大年,豐年
大嫂,(不是粵方言詞),
大蕉,芭蕉,
大小姐,(不是粵方言詞),
大少,大少爺,
大少奶,大少奶奶,
大笑姑婆,(沒有對應詞彙),
大貪,貪心之極,貪得無厭
大纜,粗大的纜繩,
大嬸,(不是粵方言詞),
大妗婆,父親的舅母,
大番薯,愚笨的人,
大單,大宗,大規模
大眼雞,鱒魚,紅眼鱒
大笨象,大象,
大癮,熱衷於,
大癲大,嘻嘻哈哈,大大咧咧
大件,大塊兒,大個兒
大門口,大門出口,
大倌,大少爺,
大朋,大家,眾人
大廳,(不是粵方言詞),
大聲夾惡,(沒有對應詞彙),
大頸泡,大脖子,甲狀腺腫大
大情大性,性情曠達,不世故
大鄉里,鄉巴佬,土包子
大洋,(不是粵方言詞),
大堂,門廳,大廳
大艙,統艙,
大懵,極傻的人,
大冬瓜,(沒有對應詞彙),
大筒襪,(沒有對應詞彙),
大,吃菜多,能吃菜
大紅花轎,花轎,
大紅柿,(沒有對應詞彙),
大甕缸,皮缸,
大粒,達官,顯貴
大押,當鋪,典當行
大吉利市,大吉大利,
大伯,大伯子,大伯爺
大白菜,大的本地白菜,(一種植株很大的)白菜
大賊,(沒有對應詞彙),
大隻佬,大塊頭,大個子(的男人)
大隻,五大三粗,膀大腰圓
大石笮死蟹,(沒有對應詞彙),
大食,食量大,吃得多
大食懶,好吃懶做的人,
大腳色,大員,
大鑊,大鐵鍋,
大鑊飯,大鍋飯,
大碌藕,(沒有對應詞彙),
大叔,(不是粵方言詞),
大模斯樣,大模大樣,勞若無人
大人大者,老大不小的,
呔,輪胎,
,汽車的方向盤,
,船上的舵輪,船舵
太,太太,
太,曾祖母,太婆
太座,(不是粵方言詞),
太子爺,大少爺,少東家
太師椅,(不是粵方言詞),
太奶奶,(沒有對應詞彙),
太老爺,(沒有對應詞彙),
太空褸,(沒有對應詞彙),
乃乃閑,清閑,不慌不忙
乃念,想著,體念
奶,乳房,
奶媽,(不是粵方言詞),
奶奶,婆婆,
奶膽,乳白電燈泡,
褦,搭配,(好壞)間雜
孻,最末的,最小的
孻尾,最後,末了
拉,扯,拖
拉家伙,抄家伙,
拉扯,平均,
拉鋸,(沒有對應詞彙),
拉埋天窗,辦喜事,(指)結婚
拉差,軍隊出發,
拉柴,死亡,死
拉掣,(沒有對應詞彙),
拉頭纜,牽頭,帶頭
拉纜,拉縴,
拉衫尾,絣衫尾,
拉勻,平均,拉平
拉麵,抻麵,
拉,搭線,介紹
拉腸,布拉腸粉,
拉相好,套近乎,套交情
拉上補下,截長補短,
拉客仔,(沒有對應詞彙),
拉尺,捲尺,
,用舌頭舔,食完飯
屎,拍馬屁,
賴,怪罪,
賴貓,耍賴,說了不認賬
賴賬,賴數,欠賬不還
瀨粉,米粉條的一種,圓條狀粗粉條
齋,屋子,
齋,素食,素的
齋婆,吃素的女人,
齋姑,(沒有對應詞彙),
齋菜,齋料,烹製素菜餚食物
齋鹵味,素什錦,
齋堂,齋姑住的地方,佛寺
齋酌,(沒有對應詞彙),
債仔,債戶,欠債的人
差使,支使,使喚
差人,警察,
差房,拘留所,
猜枚,(不是粵方言詞),
猜呈沉,(沒有對應詞彙),
搋,用手揉,
柴,木柴,柴火
柴把,(沒有對應詞彙),
柴魚,明太魚,鰹魚
柴山,(沒有對應詞彙),
儕,大家起哄,嘲笑
儕嘩嘩,眾人參與說笑,神聊
儕臺,喝倒彩,喊倒好兒
踩,腳踏,踩
踩錯腳,失腳,一腳踏空
踩軟索,走纜繩,
踩,(沒有對應詞彙),
踩鋼,走鋼絲,
踩西瓜皮,出門撞見鬼,(喻)倒霉
舐,(不是粵方言詞),
晒,統統,完全
曬,太陽照射,陽光很充足強烈
曬野,(指)自誇,(指)賣弄自己
曬書櫃,悜才,
曬地,(沒有對應詞彙),
曬衫夾,(沒有對應詞彙),
曬棚,天臺,
曬命,自誇命運好,有福氣
皆因,因為,
階磚,地板磚,
街知巷聞,家喻戶曉,
街市仔,市井之徒,
街數,外賬,
街,街上的電線,外線
街燈,(不是粵方言詞),
街坊,(不是粵方言詞),
街坊鬼鬼,街里街坊,街坊里道
街坊菜,家常菜,
街閘,(沒有對應詞彙),
